KEEP,THEMES,mid,member,year,type,title,venue,authors,doi,published_version
,monetary,wagner-helmut,Helmut Wagner,2016,article,Positive Trend Inflation and the Phillips Curve - A Tale of Two Slopes,SSRN Electronic Journal,Katrin Heinrichs · Helmut Wagner,10.2139/ssrn.2888366,
,monetary,wagner-helmut,Helmut Wagner,2016,article,The Effects of External Shocks on the Business Cycle in China: A Structural Change Perspective,SSRN Electronic Journal,Michael Murach · Helmut Wagner,10.2139/ssrn.2741579,
,general,wagner-helmut,Helmut Wagner,2016,article,"The Middle-Income Trap   Definitions, Theories and Countries Concerned: A Literature Survey",SSRN Electronic Journal,Linda Glawe · Helmut Wagner,10.2139/ssrn.2777521,
,monetary,wagner-helmut,Helmut Wagner,2014,article,Can We Expect Convergence through Monetary Integration? (New) OCA Theory versus Empirical Evidence from European Integration,Comparative Economic Studies 56(2),Helmut Wagner,10.1057/ces.2014.8,
,general,wagner-helmut,Helmut Wagner,2013,article,Challenges to China’s Policy: Structural Change,Comparative Economic Studies 55(4),Helmut Wagner,10.1057/ces.2013.22,
,general,wagner-helmut,Helmut Wagner,2013,article,A structural approach to financial stability: On the beneficial role of regulatory governance,Journal of Governance and Regulation 2(1),Benjamin Mohr · Helmut Wagner,10.22495/jgr_v2_i1_p1,
,general,wagner-helmut,Helmut Wagner,2012,article,Impacts of Intermediate Trade on Structural Change,SSRN Electronic Journal,Denis Stijepic · Helmut Wagner,10.2139/ssrn.2134961,
,general,wagner-helmut,Helmut Wagner,2012,article,Implementation of Technological Breakthroughs at Sector Level and Technology-Bias,SSRN Electronic Journal,Denis Stijepic · Helmut Wagner,10.2139/ssrn.2020279,
,general,wagner-helmut,Helmut Wagner,2012,article,"Kuznets-Kaldor-Puzzle, Neutral Structural Change and Independent Preferences and Technologies",SSRN Electronic Journal,Denis Stijepic · Helmut Wagner,10.2139/ssrn.2020291,
,general,wagner-helmut,Helmut Wagner,2012,article,"Population-Ageing, Structural Change and Productivity Growth",SSRN Electronic Journal,Denis Stijepic · Helmut Wagner,10.2139/ssrn.2020284,
,monetary,wagner-helmut,Helmut Wagner,2011,article,Optimal Monetary Policy during Boom-Bust Cycles: The Impact of Globalization,International Journal of Economics and Finance 3(2),Rolf Knütter · Helmut Wagner,10.5539/ijef.v3n2p34,
,monetary,wagner-helmut,Helmut Wagner,2010,article,The causes of the recent financial crisis and the role of central banks in avoiding the next one,International Economics and Economic Policy 7(1),Helmut Wagner,10.1007/s10368-010-0154-z,
x,monetary,wagner-helmut,Helmut Wagner,2007,article,Monetary Policy and Asset Prices: More Bad News for ‘Benign Neglect’*,International Finance 10(1),Wolfram Berger · Friedrich Kißmer · Helmut Wagner,10.1111/j.1468-2362.2006.00192.x,
,general,wagner-helmut,Helmut Wagner,2006,article,INTERNATIONAL LESSONS FOR THE PROPERTY PRICE BOOM IN SOUTH AFRICA,South African Journal of Economics 74(2),Norbert Funke · Friedrich Kißmer · Helmut Wagner,10.1111/j.1813-6982.2006.00065.x,
,monetary,wagner-helmut,Helmut Wagner,2006,article,International Policy Coordination and Simple Monetary Policy Rules,IMF Working Papers 06(164),Wolfram Berger · Helmut Wagner · WBerger@imf.org · HWagner@imf.org,10.5089/9781451864243.001,
,general,wagner-helmut,Helmut Wagner,2005,article,Pension Reform in the New EU Member States: Will a Three-Pillar Pension System Work?,Eastern European Economics 43(4),HELMUT WAGNER,10.1080/00128775.2005.11041110,
,general,wagner-helmut,Helmut Wagner,2005,article,Globalization and financial instability,International Journal of Social Economics 32(7),Helmut Wagner,10.1108/03068290510601144,
,general,wagner-helmut,Helmut Wagner,2005,article,Interdependent Expectations and the Spread of Currency Crises,IMF Staff Papers 52(1),Wolfram Berger · Helmut Wagner,10.2307/30035947,
,monetary,wagner-helmut,Helmut Wagner,2004,article,"Globalization, Financial Volatility and Monetary Policy",Empirica 31(2-3),Helmut Wagner · Wolfram Berger,10.1007/s10633-004-0915-4,
,monetary,wagner-helmut,Helmut Wagner,2003,chapter,Central bank independence and macroeconomic performance: a survey of the evidence FRIEDRICH KIßMER AND HELMUT WAGNER,Central Banking in Eastern Europe,Helmut Wagner,10.4324/9780203465240-14,
,general,wagner-helmut,Helmut Wagner,2002,article,"Growth Effects of ""Heterogeneous"" Economic Integration: the Example of EMU Enlargement",Journal of Economic Integration 17(4),Helmut Wagner,10.11130/jei.2002.17.4.623,
,general,wagner-helmut,Helmut Wagner,2002,article,Spreading Currency Crises: The Role of Economic Interdependence,IMF Working Papers 02(144),Wolfram Berger · Helmut Wagner · WBerger@imf.org · HWagner@imf.org,10.5089/9781451856453.001,
,monetary,wagner-helmut,Helmut Wagner,2001,article,Implications of Globalization for Monetary Policy,IMF Working Papers 01(184),Helmut Wagner · HWagner@imf.org,10.5089/9781451859362.001,
,general,wagner-helmut,Helmut Wagner,2000,article,Which exchange rate regimes in an era of high capital mobility?☆,The North American Journal of Economics and Finance 11(2),Helmut Wagner,10.1016/s1062-9408(00)00035-8,
,monetary,wagner-helmut,Helmut Wagner,2000,article,Central Banking in Transition Countries,Eastern European Economics 38(4),Helmut Wagner,10.1080/00128775.2000.11648724,
,monetary,wagner-helmut,Helmut Wagner,2000,article,Controlling inflation in transition economies: The relevance of central bank independence and the right nominal anchor,Atlantic Economic Journal 28(1),Helmut Wagner,10.1007/bf02300531,
x,monetary,wagner-helmut,Helmut Wagner,1999,article,Central Bank Independence and the Lessons for Transition Economies from Developed and Developing Countries,Comparative Economic Studies 41(4),Helmut Wagner,10.1057/ces.1999.16,
,monetary,wagner-helmut,Helmut Wagner,1999,article,Inflation Targeting versus Monetary Targeting,Credit and Capital Markets – Kredit und Kapital 32(4),Helmut Wagner,10.3790/ccm.32.4.610,
,monetary,wagner-helmut,Helmut Wagner,1998,article,Central Banking in Transition Countries,IMF Working Papers 98(126),Helmut Wagner · HWagner@imf.org,10.5089/9781451936681.001,
,general,wagner-helmut,Helmut Wagner,1993,article,Reconstruction of the financial system in East Germany: Description and comparison with Eastern Europe,Journal of Banking &amp; Finance 17(5),Helmut Wagner,10.1016/0378-4266(93)90068-o,
,monetary,wagner-helmut,Helmut Wagner,1992,article,NOMINAL INCOME TARGETING VERSUS MONEY SUPPLY TARGETING,Scottish Journal of Political Economy 39(2),Kazumi Asako · Helmut Wagner,10.1111/j.1467-9485.1992.tb00614.x,
,general,wohlgemuth-michael,Michael Wohlgemuth,2026,article,Investigating the perception of peer review quality—A German–Swiss vignette study,Quantitative Science Studies 7,Robert Neumann · Silke Bellanger · Josephine Hartwig · Dirk Verdicchio et al.,10.1162/QSS.a.469,
,general,wohlgemuth-michael,Michael Wohlgemuth,2025,article,Journals withdrawn from DOAJ,Zenodo,Michael Wohlgemuth,10.5281/zenodo.15866633,
,general,wohlgemuth-michael,Michael Wohlgemuth,2024,article,Comparing different search methods for the open access journal recommendation tool B!SON,International Journal on Digital Libraries 25(3),Elias Entrup · Anita Eppelin · Ralph Ewerth · Josephine Hartwig et al.,10.1007/s00799-023-00372-3,
,general,wohlgemuth-michael,Michael Wohlgemuth,2023,article,B!SON im Praxiseinsatz: Wie der Journal Recommender in lokale Open-Access-Angebote integriert werden kann,Zenodo,Michael Wohlgemuth,10.5281/zenodo.8374993,
,general,wohlgemuth-michael,Michael Wohlgemuth,2023,article,Die B!SON-Herde wächst: Von der lokalen Einbindung zum neuen Service,Zenodo,Michael Wohlgemuth,10.5281/zenodo.8060537,
,general,wohlgemuth-michael,Michael Wohlgemuth,2022,article,Qualitätssicherung im Review-Prozess zwischen Anspruch und Erfahrung: Das Projekt EQUAP2,Zenodo,Michael Wohlgemuth,10.5281/zenodo.7252115,
,general,wohlgemuth-michael,Michael Wohlgemuth,2022,chapter,B!SON: A Tool for Open Access Journal Recommendation,Linking Theory and Practice of Digital Libraries,Elias Entrup · Anita Eppelin · Ralph Ewerth · Josephine Hartwig et al.,10.1007/978-3-031-16802-4_33,
,general,wohlgemuth-michael,Michael Wohlgemuth,2022,article,Open-Access-Finanzierung,Bonn : Bundesinstitut für Berufsbildung (BIBB),Michael Wohlgemuth,10.34657/9784,
,general,wohlgemuth-michael,Michael Wohlgemuth,2022,article,Resilience in organization-related research: An integrative conceptual review across disciplines and levels of analysis.,Journal of Applied Psychology 107(6),Sebastian Raetze · Stephanie Duchek · M. Travis Maynard · Michael Wohlgemuth,10.1037/apl0000952,
,general,wohlgemuth-michael,Michael Wohlgemuth,2021,article,B!SON – Empfehlungsservice für qualitätsgesicherte Open-Access-Zeitschriften,Zenodo,Michael Wohlgemuth,10.5281/zenodo.5534182,
,general,wohlgemuth-michael,Michael Wohlgemuth,2021,article,Effizienzmessung im Hochschulsektor. Ein Vergleich zitationsbasierter Output-Indikatoren.,Hochschulmanagement,Michael Wohlgemuth,,
,general,wohlgemuth-michael,Michael Wohlgemuth,2020,article,Artikelbearbeitungsgebühren im Spiegel von Forschung und Praxis,Bibliothek Forschung und Praxis 44(2),Michael Wohlgemuth,10.1515/bfp-2020-2087,
,general,wohlgemuth-michael,Michael Wohlgemuth,2020,article,Die Open-Access-Transformation als bibliometrische Herausforderung,Zenodo,Michael Wohlgemuth,10.5281/zenodo.3719362,
,general,wohlgemuth-michael,Michael Wohlgemuth,2019,article,Zur Sichtbarkeit von deutschen Universitäten in bibliometrischen Datenbanken,Zenodo,Michael Wohlgemuth,10.5281/zenodo.3569477,
,general,wohlgemuth-michael,Michael Wohlgemuth,2017,article,Publikationen in Gold-Open-Access-Journalen auf globaler und europäischer Ebene sowie in Forschungsorganisationen.,Universität Bielefeld,Michael Wohlgemuth,,
,general,wohlgemuth-michael,Michael Wohlgemuth,2016,article,ISSN-Matching of Gold OA Journals (ISSN-GOLD-OA),Universität Bielefeld,Michael Wohlgemuth,10.4119/UNIBI/2906347,
,general,wohlgemuth-michael,Michael Wohlgemuth,2013,article,Material zu einem bibliometrischen Profil der Wissenschaftsforschung,Universität Bielefeld,Michael Wohlgemuth,,
x,"monetary,public_finance",landmann-oliver,Oliver Landmann,2018,article,On the Logic of Fiscal Policy Coordination in a Monetary Union,Open Economies Review 29(1),Oliver Landmann,10.1007/s11079-017-9446-z,
x,spatial,sturn-richard,Richard Sturn,2026,article,Geoökonomik – Geopolitik – Geo-politische Ökonomik,Perspektiven der Wirtschaftspolitik 27(1),Richard Sturn,10.1515/pwp-2025-0031,
x,"public_finance,econ_history",sturn-richard,Richard Sturn,2023,article,From public finance to public economics,The European Journal of the History of Economic Thought 30(5),Maxime Desmarais-Tremblay · Marianne Johnson · Richard Sturn,10.1080/09672567.2023.2248323,
,econ_history,sturn-richard,Richard Sturn,2023,article,Mapping the history of public economics in the twentieth century: an introduction to the special issue,The European Journal of the History of Economic Thought 30(5),Maxime Desmarais-Tremblay · Marianne Johnson · Richard Sturn,10.1080/09672567.2023.2248319,
,general,sturn-richard,Richard Sturn,2022,article,"Ideology, power, and progress: Economics and its dilemmas",Acta Oeconomica 72(S1),Richard Sturn,10.1556/032.2022.00020,
,general,sturn-richard,Richard Sturn,2019,chapter,Hans Albert und die Verfassung der Wissenschaft,Begegnungen mit Hans Albert,Richard Sturn,10.1007/978-3-658-22690-9_70,
,econ_history,sturn-richard,Richard Sturn,2018,article,Joel Mokyr’s A Culture of Growth: a book roundtable,The European Journal of the History of Economic Thought,Richard Sturn,,
,econ_history,sturn-richard,Richard Sturn,2017,article,"Agency, exchange, and power in scholastic thought",The European Journal of the History of Economic Thought 24(4),Richard Sturn,10.1080/09672567.2017.1338393,
x,historical,sturn-richard,Richard Sturn,2016,article,"Scarce Means, Competing Ends: Lord Robbins and the Foundations of Contextual Economics",Journal of Contextual Economics – Schmollers Jahrbuch 136(1),Richard Sturn,10.3790/schm.136.1.59,
,general,sturn-richard,Richard Sturn,2011,book,Paradigmenwechsel in der Familienpolitik,VS Verlag für Sozialwissenschaften,Richard Sturn,10.1007/978-3-531-93360-3,
x,evolutionary,sturn-richard,Richard Sturn,2009,article,Volenti Non Fit Iniuria? Contract Freedom and Labor Market Institutions,Analyse &amp; Kritik 31(1),Richard Sturn,10.1515/auk-2009-0104,
,general,sturn-richard,Richard Sturn,2002,edited,Is There Progress in Economics?,Edward Elgar Publishing,Richard Sturn,10.4337/9781843765622,
,general,sturn-richard,Richard Sturn,2000,article,Basic Income in Complex Worlds,Analyse &amp; Kritik 22(2),Richard Sturn · Rudi Dujmovits,10.1515/auk-2000-0203,
,general,thomsen-stephan,Stephan Thomsen,2026,article,Evaluation of a social media campaign for the prevention of intimate partner violence,Journal of Experimental Criminology,Daniel Seddig · Laura Bartz · Thomas Bliesener · Farina Rühs et al.,10.1007/s11292-025-09723-3,
,general,thomsen-stephan,Stephan Thomsen,2025,article,The microfoundations of academics’ engagement with society,Technovation 147,Vitus Püttmann · Stephan L. Thomsen,10.1016/j.technovation.2025.103314,
,monetary,thomsen-stephan,Stephan Thomsen,2025,article,BAföG: Festsetzung und Fortschreibung wie beim Bürgergeld?,Sozialer Fortschritt 74(4),Dennis H. Meier · Stephan L. Thomsen · Felix Wolf,10.3790/sfo.2025.1455601,
,general,thomsen-stephan,Stephan Thomsen,2025,article,Academics’ susceptibility to disruptions of their research productivity: empirical insights from the COVID-19 pandemic,Higher Education 89(4),Vitus Püttmann · Stephan L. Thomsen,10.1007/s10734-024-01266-2,
,general,thomsen-stephan,Stephan Thomsen,2025,article,Can voluntary adult education reduce unemployment? Causal evidence from East Germany after reunification,Journal for Labour Market Research 59(1),Li Kathrin Kaja Rupieper · Stephan L. Thomsen,10.1186/s12651-024-00379-6,
,general,thomsen-stephan,Stephan Thomsen,2024,article,Preventing Child Maltreatment: Beneficial Side Effects of Public Childcare,The Economic Journal 135(665),Malte Sandner · Stephan L Thomsen · Libertad González,10.1093/ej/ueae070,
,general,thomsen-stephan,Stephan Thomsen,2024,article,Workload disparities and their role in the health of migrants and natives in Germany,BMC Public Health 24(1),Kai Ingwersen · Stephan L. Thomsen,10.1186/s12889-024-19606-3,
,general,thomsen-stephan,Stephan Thomsen,2024,article,BAföG: Wirkungsanalysen überfällig,Wirtschaftsdienst 104(8),Dennis H. Meier · Stephan L. Thomsen · Felix Wolf,10.2478/wd-2024-0144,
,general,thomsen-stephan,Stephan Thomsen,2024,article,No mental retirement: estimating voluntary adult education activities of older workers,Education Economics 32(4),Jens Ruhose · Stephan L. Thomsen · Insa Weilage,10.1080/09645292.2023.2229078,
,general,thomsen-stephan,Stephan Thomsen,2024,article,Did the Bologna Process Challenge the German Apprenticeship System? Evidence from a Natural Experiment,Journal of Human Capital 18(4),Stephan L. Thomsen · Johannes Trunzer,10.1086/730273,
x,spatial,thomsen-stephan,Stephan Thomsen,2024,article,Regional Supply and Demand Fundamentals in the German Housing Price Boom,German Economic Review 25(1),Lars Brausewetter · Stephan L. Thomsen · Johannes Trunzer,10.1515/ger-2023-0063,
,general,thomsen-stephan,Stephan Thomsen,2024,article,Studying abroad experience and the wages of females,Higher Education 87(2),Zhanylai Asankulova · Stephan Thomsen,10.1007/s10734-023-01013-z,
,general,thomsen-stephan,Stephan Thomsen,2024,article,The financial situation of students during the COVID-19 pandemic. A case study from a German university,Soziale Welt 75(4),Dennis H. Meier · Stephan L. Thomsen · Johannes Göhausen,10.5771/0038-6073-2024-4-408,
,general,thomsen-stephan,Stephan Thomsen,2023,article,Academics’ Attitudes Toward Engaging in Public Discussions: Experimental Evidence on the Impact of Engagement Conditions,Research in Higher Education 64(5),Vitus Püttmann · Jens Ruhose · Stephan L. Thomsen,10.1007/s11162-022-09725-4,
,general,thomsen-stephan,Stephan Thomsen,2023,chapter,Bildungsökonomie,Wörterbuch Erwachsenen- und Weiterbildung,Jens Ruhose · Stephan L. Thomsen,10.35468/wbeb2022-040,
,general,thomsen-stephan,Stephan Thomsen,2023,chapter,Humankapital,Wörterbuch Erwachsenen- und Weiterbildung,Jens Ruhose · Stephan L. Thomsen,10.35468/wbeb2022-135,
,general,thomsen-stephan,Stephan Thomsen,2023,chapter,Causal Evaluation of Educational Policies,"Handbook of Labor, Human Resources and Population Economics",Dennis H. Meier · Stephan Thomsen,10.1007/978-3-319-57365-6_353-1,
,general,thomsen-stephan,Stephan Thomsen,2023,article,Minimum Wage in Germany: Countering the Wage and Employment Gap between Migrants and Natives?,SSRN,Stephan Thomsen,,
,general,thomsen-stephan,Stephan Thomsen,2023,article,Scaling up and Crowding out: How German Adult Education Centers Adapted Course Offers to Refugee Integration,Adult Education Quarterly 73(1),Stephan L. Thomsen · Insa Weilage,10.1177/07417136211068861,
,general,thomsen-stephan,Stephan Thomsen,2022,article,"Did the ""Bologna Process"" Achieve its Goals? 20 Years of Empirical Evidence on Student Enrolment, Study Success and Labour Market Outcomes",SSRN,Stephan Thomsen,,
,general,thomsen-stephan,Stephan Thomsen,2022,article,Evaluating an Interactive Film on the Prevention of Political Radicalization,Journal for Deradicalization,Stephan Thomsen,,
,general,thomsen-stephan,Stephan Thomsen,2022,article,Explaining Regional Disparities in Housing Prices Across German Districts,SSRN,Stephan Thomsen,,
,general,thomsen-stephan,Stephan Thomsen,2022,article,Minimum Wage in Germany: Countering the Wage and Employment Gap between Migrants and Natives?,SSRN,Stephan Thomsen,,
,general,thomsen-stephan,Stephan Thomsen,2022,article,The Financial Situation of Students During the COVID-19 Pandemic,SSRN,Stephan Thomsen,,
,general,thomsen-stephan,Stephan Thomsen,2022,article,The Third Mission in the Academic Profession: Empirical Insights into Academic Identities,SSRN,Stephan Thomsen,,
,general,thomsen-stephan,Stephan Thomsen,2022,article,Zur Relevanz von Ausstattungsunterschieden für Forschungsleistungsvergleiche,List Forum für Wirtschafts- und Finanzpolitik 48(1-2),Vitus Püttmann · Stephan L. Thomsen · Johannes Trunzer,10.1007/s41025-022-00238-7,
,general,thomsen-stephan,Stephan Thomsen,2022,article,3G am Arbeitsplatz: zur Situation in niedersächsischen Unternehmen Ende 2021,Wirtschaftsdienst 102(2),Stephan L. Thomsen · Johannes Trunzer,10.1007/s10273-022-3111-x,
,general,thomsen-stephan,Stephan Thomsen,2021,article,How do warnings affect retail demand for Bitcoin? Evidence from an international survey experiment,Journal of Behavioral and Experimental Finance 32,Axel Ebers · Stephan L. Thomsen,10.1016/j.jbef.2021.100567,
,general,thomsen-stephan,Stephan Thomsen,2021,article,The immigrant-native wage gap in Germany revisited,The Journal of Economic Inequality 19(4),Kai Ingwersen · Stephan L. Thomsen,10.1007/s10888-021-09493-8,
,general,thomsen-stephan,Stephan Thomsen,2021,article,Versorgungsgradprognosen als Baustein einer evidenzbasierten Versorgungsplanung,"Zeitschrift für Evidenz, Fortbildung und Qualität im Gesundheitswesen 162",Stephan L. Thomsen · Kai Ingwersen · Insa Weilage,10.1016/j.zefq.2021.02.002,
,general,thomsen-stephan,Stephan Thomsen,2021,article,Frauen in Führungspositionen: Chancen und Risiken durch die COVID-19-Pandemie,Wirtschaftsdienst 101(4),Vivien-Sophie Gulden · Stephan L. Thomsen,10.1007/s10273-021-2900-y,
,general,thomsen-stephan,Stephan Thomsen,2021,article,Benefit–Cost Analysis of Social Media Facilitated Bystander Programs,Journal of Benefit-Cost Analysis 12(2),Axel Ebers · Stephan L. Thomsen,10.1017/bca.2020.34,
,general,thomsen-stephan,Stephan Thomsen,2021,article,Academics&amp;Apos; Attitudes Toward Engaging in Public Discussions – Experimental Evidence on the Impact of Engagement Conditions,SSRN,Stephan Thomsen,,
,general,thomsen-stephan,Stephan Thomsen,2021,article,Academics’ Attitudes toward Engaging in Public Discussions – Experimental Evidence on the Impact of Engagement Conditions,SSRN,Stephan Thomsen,,
,general,thomsen-stephan,Stephan Thomsen,2020,chapter,Politische Bildung in der jüngeren Geschichte der Volkshochschulen:,Vergangene Zukünfte – neue Vergangenheiten,Josef Schrader · Insa Weilage · Stephan Thomsen,10.2307/j.ctv16t674x.14,
,general,thomsen-stephan,Stephan Thomsen,2020,article,"Mietwohnungsknappheit in Deutschland: Ursachen, Instrumente, Implikationen",Wirtschaftsdienst 100(6),Stephan L. Thomsen · Daniel Vogt · Lars Brausewetter,10.1007/s10273-020-2680-9,
,general,thomsen-stephan,Stephan Thomsen,2020,article,An Empirical Assessment of Workload and Migrants&amp;Apos; Health in Germany,SSRN,Stephan Thomsen,,
,general,thomsen-stephan,Stephan Thomsen,2020,article,Are Older Workers Willing to Learn?,SSRN,Stephan Thomsen,,
,general,thomsen-stephan,Stephan Thomsen,2020,article,Are Older Workers Willing to Learn?,SSRN,Stephan Thomsen,,
,general,thomsen-stephan,Stephan Thomsen,2020,chapter,"Berufliche Weiterbildung und subjektives Wohlbefinden: Abschätzung der Effekte einer Weiterbildungsteilnahme auf Zufriedenheit, Sorgen und Gesundheit in Deutschland / Work-Related Training and Subjective Well-Being. Estimating the Effect of Training Participation on Satisfaction, Worries, and Health in Germany",Monetäre und nicht monetäre Erträge von Weiterbildung,Jens Ruhose · Stephan L. Thomsen · Insa Weilage,10.1007/978-3-658-25513-8_5,
,general,thomsen-stephan,Stephan Thomsen,2020,article,Did the Bologna Process Challenge the German Apprenticeship System? Evidence from a Natural Experiment,SSRN,Stephan Thomsen,,
,distribution,thomsen-stephan,Stephan Thomsen,2020,edited,Einkommens- und Vermögensverteilung in historischer Sicht,Duncker & Humblot,Stephan Thomsen,10.3790/978-3-428-55754-7,
,general,thomsen-stephan,Stephan Thomsen,2019,article,New Evidence on the Effects of the Shortened School Duration in the German States: An Evaluation of Post-secondary Education Decisions,German Economic Review 20(4),Tobias Meyer · Heidrun Schneider · Stephan L. Thomsen,10.1111/geer.12162,
,general,thomsen-stephan,Stephan Thomsen,2019,article,The Immigrant-Native Wage Gap in Germany Revisited,SSRN,Stephan Thomsen,,
,general,thomsen-stephan,Stephan Thomsen,2019,article,The Wider Benefits of Adult Learning: Work-Related Training and Social Capital,SSRN,Stephan Thomsen,,
,general,thomsen-stephan,Stephan Thomsen,2019,article,"The benefits of adult learning: Work-related training, social capital, and earnings",Economics of Education Review 72,Jens Ruhose · Stephan L. Thomsen · Insa Weilage,10.1016/j.econedurev.2019.05.010,
,general,thomsen-stephan,Stephan Thomsen,2018,article,"The role of high-school duration for university students' motivation, abilities and achievements",Education Economics 26(1),Tobias Meyer · Stephan L. Thomsen,10.1080/09645292.2017.1351525,
,general,thomsen-stephan,Stephan Thomsen,2018,article,Die Notwendigkeit ökonomischer Politikberatung für eine evidenzbasierte Bildungspolitik: Verkürzung und Verlängerung der Schulzeit am Gymnasium,Perspektiven der Wirtschaftspolitik 19(3),Stephan L. Thomsen · Silke Anger,10.1515/pwp-2018-0026,
,general,thomsen-stephan,Stephan Thomsen,2018,article,The Effects of Universal Public Childcare Provision on Cases of Child Neglect and Abuse,SSRN,Stephan Thomsen,,
,general,thomsen-stephan,Stephan Thomsen,2018,article,The Wider Benefits of Adult Learning: Work-Related Training and Social Capital,SSRN,Stephan Thomsen,,
,general,thomsen-stephan,Stephan Thomsen,2017,article,The changing situation of labor market entrants in Germany,Journal for Labour Market Research 50(1),Mario Reinhold · Stephan Thomsen,10.1007/s12651-017-0227-3,
,general,thomsen-stephan,Stephan Thomsen,2016,article,Did tuition fees in Germany constrain students’ budgets? New evidence from a natural experiment,IZA Journal of European Labor Studies 5(1),Stephan Thomsen · Friederike von Haaren-Giebel,10.1186/s40174-016-0054-5,
,general,thomsen-stephan,Stephan Thomsen,2016,article,How Important Is Secondary School Duration for Postsecondary Education Decisions? Evidence from a Natural Experiment,Journal of Human Capital 10(1),Tobias Meyer · Stephan L. Thomsen,10.1086/684017,
x,"evolutionary, spatial",thomsen-stephan,Stephan Thomsen,2016,article,Spatial cooperation patterns and their impact on innovation outcomes: lessons from firms in a low-technology region,European Planning Studies 24(5),Pia Wassmann · Daniel Schiller · Stephan L. Thomsen,10.1080/09654313.2016.1140721,
,general,thomsen-stephan,Stephan Thomsen,2015,article,School-track environment or endowment: What determines different other-regarding behavior across peer groups?,Games and Economic Behavior 94,Katrin John · Stephan L. Thomsen,10.1016/j.geb.2015.10.007,
,historical,thomsen-stephan,Stephan Thomsen,2015,article,"Schneller fertig, aber weniger Freizeit? – Eine Evaluation der Wirkungen der verkürzten Gymnasialschulzeit auf die außerschulischen Aktivitäten der Schülerinnen und Schüler",Journal of Contextual Economics – Schmollers Jahrbuch 135(3),Tobias Meyer · Stephan L. Thomsen,10.3790/schm.135.3.249,
,general,thomsen-stephan,Stephan Thomsen,2015,article,Subnational Population Projections by Age: An Evaluation of Combined Forecast Techniques,Population Research and Policy Review 34(4),Mario Reinhold · Stephan L. Thomsen,10.1007/s11113-015-9362-0,
x,general,thomsen-stephan,Stephan Thomsen,2015,article,Are We Spending Too Many Years in School? Causal Evidence of the Impact of Shortening Secondary School Duration,German Economic Review 16(1),Bettina Büttner · Stephan L. Thomsen,10.1111/geer.12038,
,general,thomsen-stephan,Stephan Thomsen,2015,article,Should Welfare Administration be Centralized or Decentralized? Evidence from a Policy Experiment,German Economic Review 16(1),Bernhard Boockmann · Thomas Walter · Martin Huber · Stephan L. Thomsen et al.,10.1111/geer.12021,
,general,thomsen-stephan,Stephan Thomsen,2015,article,The impacts of shortening secondary school duration,IZA World of Labor,"Leibniz Universität Hannover, Germany · Stephan Thomsen",10.15185/izawol.166,
,general,thomsen-stephan,Stephan Thomsen,2014,article,Lariation of Learning Intensity in Late Adolescence and the Effect on Personality Traits,Journal of the Royal Statistical Society Series A: Statistics in Society 177(4),Hendrik Thiel · Stephan L. Thomsen · Bettina Büttner,10.1111/rssa.12079,
,general,thomsen-stephan,Stephan Thomsen,2014,article,Nicht ausgeschöpfte Potenziale in der Kita-Platzvergabe,Vierteljahrshefte zur Wirtschaftsforschung 83(1),Sissa Carlsson · Stephan Thomsen,10.3790/vjh.83.1.183,
,general,thomsen-stephan,Stephan Thomsen,2014,article,Intensifying the use of benefit sanctions: an effective tool to increase employment?,IZA Journal of Labor Policy 3(1),Bernhard Boockmann · Stephan L. Thomsen · Thomas Walter,10.1186/2193-9004-3-21,
,general,thomsen-stephan,Stephan Thomsen,2014,article,Heterogeneous returns to personality: the role of occupational choice,Empirical Economics 47(2),Katrin John · Stephan L. Thomsen,10.1007/s00181-013-0756-8,
,general,thomsen-stephan,Stephan Thomsen,2013,article,Right‐Wing Extremism and the Well‐Being of Immigrants,Kyklos 66(4),Andreas Knabe · Steffen Rätzel · Stephan L. Thomsen,10.1111/kykl.12037,
,general,thomsen-stephan,Stephan Thomsen,2013,article,"Noncognitive skills in economics: Models, measurement, and empirical evidence",Research in Economics 67(2),Hendrik Thiel · Stephan L. Thomsen,10.1016/j.rie.2013.03.002,
,general,thomsen-stephan,Stephan Thomsen,2013,article,Short-term training programs for immigrants in the German welfare system: do effects differ from natives and why?,IZA Journal of Migration 2(1),Stephan L Thomsen · Thomas Walter · Alisher Aldashev,10.1186/2193-9039-2-24,
,general,thomsen-stephan,Stephan Thomsen,2012,article,The Immigrant-Native Wage Gap in Germany,Jahrbücher für Nationalökonomie und Statistik 232(5),Alisher Aldashev · Johannes Gernandt · Stephan L. Thomsen,10.1515/jbnst-2012-0502,
,general,thomsen-stephan,Stephan Thomsen,2011,article,Aktivierung der erwerbsfähigen Hilfebedürftigen mit arbeitsmarktpolitischen Maßnahmen – Wer wird gefördert?,AStA Wirtschafts- und Sozialstatistisches Archiv 4(4),Bernhard Boockmann · Stephan Thomsen · Thomas Walter,10.1007/s11943-010-0088-5,
,general,thomsen-stephan,Stephan Thomsen,2011,article,Crowding Out Informal Care? Evidence from a Field Experiment in Germany*,Oxford Bulletin of Economics and Statistics 73(3),Melanie Arntz · Stephan L. Thomsen,10.1111/j.1468-0084.2010.00616.x,
